certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
Animex Foods sp. z o.o. Oddział K3 w Daszynie,9000006758,https://www.certipedia.com/logos/000/405/002/9000006758_en.png?1612196064,"The certificate holder's Management System corresponds to standards:
          
              IFS Food
              BRC Food","BRC Food v8:
        Slaughter of chickens, cutting of carcasses, packaging (MAP, vacuum, tray, foil) of fresh and frozen carcases, elements and chicken offal. Obtaining and freezing of mechanically separated meat from chickens packed in foil. Obtaining fresh and / or frozen trimmed chicken meat packed in foil.
      
      
        IFS Food v7:
        Slaughter of chickens, cutting of carcasses, packaging (MAP, vacuum, tray, foil) of fresh and frozen carcases,
elements and chicken offal. Obtaining and freezing of mechanically separated meat from chickens packed in
foil. Obtaining fresh and/or frozen trimmed chicken meat packed in foil.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział K3 w DaszynieKoryta 1099-107 DaszynaPoland,https://www.certipedia.com/quality_marks/9000006758?locale=en&certificate_number=01+183+1941626
Animex Foods sp. z o.o. Oddział w Suwałkach,9000006761,https://www.certipedia.com/logos/000/405/006/9000006761_en.png?1639579089,"The certificate holder's Management System corresponds to standards:
          
              BRC Food
              IFS Food","BRC Food v8:
        Slaughter, cutting, deboning of chickens. Curing, smoking, boiling, steaming, roasting of processed poultry and pork products: sausages, prepared products, block products, smoked products. Roasting of ready-to-eat products – Convenience Food. Packing (loose, vacuum, MAP) of processed products, poultry meat, raw meat products, chicken offal (chilled and frozen). Outsourced process: freezing.
      
      
        IFS Food v7:
        Slaughter, cutting, deboning of chickens. Curing, smoking, boiling, steaming, roasting of processed poultry and pork products: sausages, prepared products, block products, smoked products. Roasting of ready-to-eat products – Convenience Food. Packing (loose, vacuum, MAP) of processed products, poultry meat, raw meat products, chicken offal (chilled and frozen). Besides own production, the company has partly outsourced processes.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w Suwałkachul. Wojska Polskiego 112 A16-400 SuwałkiPoland,https://www.certipedia.com/quality_marks/9000006761?locale=en&certificate_number=01+181+129404
Animex Foods sp. z o.o. Oddział w Suwałkach,9000006761,https://www.certipedia.com/logos/000/405/006/9000006761_en.png?1639579089,"The certificate holder's Management System corresponds to standards:
          
              BRC Food
              IFS Food","BRC Food v8:
        Slaughter, cutting, deboning of chickens. Curing, smoking, boiling, steaming, roasting of processed poultry and pork products: sausages, prepared products, block products, smoked products. Roasting of ready-to-eat products – Convenience Food. Packing (loose, vacuum, MAP) of processed products, poultry meat, raw meat products, chicken offal (chilled and frozen). Outsourced process: freezing.
      
      
        IFS Food v7:
        Slaughter, cutting, deboning of chickens. Curing, smoking, boiling, steaming, roasting of processed poultry and pork products: sausages, prepared products, block products, smoked products. Roasting of ready-to-eat products – Convenience Food. Packing (loose, vacuum, MAP) of processed products, poultry meat, raw meat products, chicken offal (chilled and frozen). Besides own production, the company has partly outsourced processes.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w Suwałkachul. Wojska Polskiego 112 A16-400 SuwałkiPoland,https://www.certipedia.com/quality_marks/9000006761?locale=en&certificate_number=01+183+129405
Animex Foods sp. z o.o. Oddział w Morlinach,9000006744,https://www.certipedia.com/logos/000/404/944/9000006744_en.png?1598352714,"The certificate holder's Management System corresponds to standards:
          
              IFS Food
              BRC Food","BRC Food v8:
        Curing, smoking, steaming, drying and fermentation of ready-to-eat chilled and frozen meat products of pork, beef, poultry meat from chickens and turkeys. Confection, slicing, packaging (Vacuum, MAP) in plastic packaging
      
      
        IFS Food v7:
        Curing, smoking, steaming, drying and fermentation of ready-to-eat chilled and frozen meat products of pork, beef, poultry meat from chickens and turkeys. Confection, slicing, packaging (Vacuum, MAP) in plastic packaging.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w MorlinachMorliny 1514-100 OstródaPoland,https://www.certipedia.com/quality_marks/9000006744?locale=en&certificate_number=01+181+00255
Animex Foods sp. z o.o. Oddział w Morlinach,9000006744,https://www.certipedia.com/logos/000/404/944/9000006744_en.png?1598352714,"The certificate holder's Management System corresponds to standards:
          
              IFS Food
              BRC Food","BRC Food v8:
        Curing, smoking, steaming, drying and fermentation of ready-to-eat chilled and frozen meat products of pork, beef, poultry meat from chickens and turkeys. Confection, slicing, packaging (Vacuum, MAP) in plastic packaging
      
      
        IFS Food v7:
        Curing, smoking, steaming, drying and fermentation of ready-to-eat chilled and frozen meat products of pork, beef, poultry meat from chickens and turkeys. Confection, slicing, packaging (Vacuum, MAP) in plastic packaging.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w MorlinachMorliny 1514-100 OstródaPoland,https://www.certipedia.com/quality_marks/9000006744?locale=en&certificate_number=01+183+00185
Animex Foods sp. z o.o. Oddział w Starachowicach,9000006738,https://www.certipedia.com/logos/000/404/926/9000006738_en.png?1624625290,"The certificate holder's Management System corresponds to standards:
          
              IFS Food
              BRC Food","BRC Food v8:
        Slaughter of pigs and cutting of pork, cooling, packaging and freezing of offal, meats and pork elements packaged in MAP, VAC and loose.
Steaming and smoking of smoked products, thin medium-minced sausages, sausages in collagen casing; steaming, smoking, drying of dried and semi-dried products; cold smoking of raw-smoked products, steaming of homogenized products; cooking of offal processed products, packing in MAP and VACUUM.
      
      
        IFS Food v7:
        Slaughter of pigs and cutting of pork, cooling, packaging and freezing of offal, meats and pork elements packaged in MAP, VAC and loose. Steaming and smoking of smoked products, thin medium-minced sausages, sausages in collagen casing; steaming, smoking, drying of dried and semi-dried products; cold smoking of raw-smoked products, steaming of homogenized products; cooking of offal processed products, packing in MAP and VACUUM.
Besides own production, the company has partly outsourced processes.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w Starachowicachul. Krańcowa 427-200 StarachowicePoland,https://www.certipedia.com/quality_marks/9000006738?locale=en&certificate_number=01+181+00254
Animex Foods sp. z o.o. Oddział w Starachowicach,9000006738,https://www.certipedia.com/logos/000/404/926/9000006738_en.png?1624625290,"The certificate holder's Management System corresponds to standards:
          
              IFS Food
              BRC Food","BRC Food v8:
        Slaughter of pigs and cutting of pork, cooling, packaging and freezing of offal, meats and pork elements packaged in MAP, VAC and loose.
Steaming and smoking of smoked products, thin medium-minced sausages, sausages in collagen casing; steaming, smoking, drying of dried and semi-dried products; cold smoking of raw-smoked products, steaming of homogenized products; cooking of offal processed products, packing in MAP and VACUUM.
      
      
        IFS Food v7:
        Slaughter of pigs and cutting of pork, cooling, packaging and freezing of offal, meats and pork elements packaged in MAP, VAC and loose. Steaming and smoking of smoked products, thin medium-minced sausages, sausages in collagen casing; steaming, smoking, drying of dried and semi-dried products; cold smoking of raw-smoked products, steaming of homogenized products; cooking of offal processed products, packing in MAP and VACUUM.
Besides own production, the company has partly outsourced processes.","Certificate for management system according to BRC Food v8
Certificate for management system according to IFS Food v7",Animex Foods sp. z o.o.Oddział w Starachowicachul. Krańcowa 427-200 StarachowicePoland,https://www.certipedia.com/quality_marks/9000006738?locale=en&certificate_number=01+183+00184
Animex Foods Sp. z o.o. Oddział w Krakowie,9105032695,https://www.certipedia.com/logos/000/032/014/9105032695_en.png?1508502146,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        production of refined down and feathers; production of bedding articles; services related to the above-mentioned range",Certificates for management system according to ISO 9001,Animex Foods Sp. z o.o.Oddział w Krakowieul. Bonarka 1130-415 KrakówPoland,https://www.certipedia.com/quality_marks/9105032695?locale=en&certificate_number=0198+100+00171%2F02
Animex Foods Sp. z o.o. Oddział w Krakowie,9105032695,https://www.certipedia.com/logos/000/032/014/9105032695_en.png?1508502146,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        production of refined down and feathers; production of bedding articles; services related to the above-mentioned range",Certificates for management system according to ISO 9001,Animex Foods Sp. z o.o.Oddział w Krakowieul. Bonarka 1130-415 KrakówPoland,https://www.certipedia.com/quality_marks/9105032695?locale=en&certificate_number=0198+100+00171%2F03
ANIMAK- KOPCZA Spółka Jawna J.E. Kopcza,9105084950,https://www.certipedia.com/logos/000/174/278/9105084950_en.png?1580821558,The certificate holder's Management System corresponds to standard IFS Food.,"IFS Food v6.1:
        Pressing and rolling of pasta, long, long rolled and short forms with egg and egg-free, dehydration at the stage of initial drying, final drying, cutting. Packing in PP bags.",,ANIMAK- KOPCZA Spółka Jawna J.E. Kopczaul. Jaworzyńska 30359-220 LegnicaPoland,https://www.certipedia.com/quality_marks/9105084950?locale=en&certificate_number=01+181+1541663
ANIMA Corporation,910579029,https://www.certipedia.com/logos/000/002/547/0910579029_en.png?1581480951,The certificate holder's Management System corresponds to standard EN ISO 13485:2016.,"EN ISO 13485:
        Design and Development, Manufacture and Service of Rehabilitation & Biomechanics diagnostic medical devices
Products: Stabilometer, Gait Analyzer, 3D Motion Analyzer, Gas Expiration Analyzer, Electro Myography",Certificates for management system according to EN ISO 13485,"ANIMA Corporation3-65-1, Shimo-Ishihara,Chofu-shi, Tokyo 1820034Japan",https://www.certipedia.com/quality_marks/0910579029?locale=en&certificate_number=SX+2013808-1
ANIMA Corporation,910579029,https://www.certipedia.com/logos/000/002/547/0910579029_en.png?1581480951,The certificate holder's Management System corresponds to standard EN ISO 13485:2016.,"EN ISO 13485:
        Design and Development, Manufacture and Service of Rehabilitation & Biomechanics diagnostic medical devices
Products: Stabilometer, Gait Analyzer, 3D Motion Analyzer, Gas Expiration Analyzer, Electro Myography",Certificates for management system according to EN ISO 13485,"ANIMA Corporation3-65-1, Shimo-Ishihara,Chofu-shi, Tokyo 1820034Japan",https://www.certipedia.com/quality_marks/0910579029?locale=en&certificate_number=SX+60145905+0001%2F02
Animex Foods Sp. z o.o. Oddział w Krakowie,9105032695,https://www.certipedia.com/logos/000/032/014/9105032695_en.png?1508502146,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        production of refined down and feathers; production of bedding articles; services related to the above-mentioned range",Certificates for management system according to ISO 9001,Animex Foods Sp. z o.o.Oddział w Krakowieul. Bonarka 1130-415 KrakówPoland,https://www.certipedia.com/quality_marks/9105032695?locale=en&certificate_number=0198+100+00171
ANIMA Corporation,910579029,https://www.certipedia.com/logos/000/002/547/0910579029_en.png?1581480951,The certificate holder's Management System corresponds to standard EN ISO 13485:2016.,"EN ISO 13485:
        Design and Development, Manufacture and Service of Rehabilitation & Biomechanics diagnostic medical devices
Products: Stabilometer, Gait Analyzer, 3D Motion Analyzer, Gas Expiration Analyzer, Electro Myography",Certificates for management system according to EN ISO 13485,"ANIMA Corporation3-65-1, Shimo-Ishihara,Chofu-shi, Tokyo 1820034Japan",https://www.certipedia.com/quality_marks/0910579029?locale=en&certificate_number=SX+60145905+0001%2F01
ANIMA Corporation,910579029,https://www.certipedia.com/logos/000/002/547/0910579029_en.png?1581480951,The certificate holder's Management System corresponds to standard EN ISO 13485:2016.,"EN ISO 13485:
        Design and Development, Manufacture and Service of Rehabilitation & Biomechanics diagnostic medical devices
Products: Stabilometer, Gait Analyzer, 3D Motion Analyzer, Gas Expiration Analyzer, Electro Myography",Certificates for management system according to EN ISO 13485,"ANIMA Corporation3-65-1, Shimo-Ishihara,Chofu-shi, Tokyo 1820034Japan",https://www.certipedia.com/quality_marks/0910579029?locale=en&certificate_number=SX+2013808+1
ANIDA CONSULTORES S.A,9000015633,https://www.certipedia.com,,"ISO/IEC 27001:
        The Information Security Management System (ISMS) incorporates the ""Monitoring, Operation Management and Security Intelligence Center of IT Services. ”This is in accordance with the Statement of Applicability, ANI-SGSI-REG-03, date February 03, 2020. Version 5.",Certificates for management system according to ISO/IEC 27001,"ANIDA CONSULTORES S.AGalvarino Gallardo 21507500494 Providencia, SantiagoChile",https://www.certipedia.com/quality_marks/9000015633?locale=en&certificate_number=01+153+1929611
AniCon Labor GmbH IVD Abteilung,9000003434,https://www.certipedia.com/logos/000/372/974/9000003434_en.png?1581502705,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Development, manufacturing and distribution of Kylt® In-Vitro Diagnostica.",,AniCon Labor GmbHIVD AbteilungEcopark-Allee 349685 EmstekGermany,https://www.certipedia.com/quality_marks/9000003434?locale=en&certificate_number=01+100+1600682
Aniceto Gomez S.A.,910098158,https://www.certipedia.com/logos/000/016/379/0910098158_en.png?1501781069,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Design, development, manufacture, sale and after sale service of coil springs for vehicle suspension.",,Aniceto Gomez S.A.Almeyra 24341650 San MartínArgentina,https://www.certipedia.com/quality_marks/0910098158?locale=en&certificate_number=01+100+018084
"Anhui Zhongwang Aluminium Alloy Deep Processing Go., Ltd.",9000011958,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Aluminum Alloy Body Welding Parts",,"Anhui Zhongwang Aluminium Alloy DeepProcessing Go., Ltd.No.8, Shangma Road, High and New Tech Development Zone,Yijiang District Wuhu City,241000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000011958?locale=en&certificate_number=01+111+2033425
"Anhui Zhongding Precision Industry Technology Co., Ltd.",9000017242,https://www.certipedia.com,,"IATF 16949:
        Manufacture of Metal Parts for Powertrain System, Suspension System, Chassis NVH System, Sealing System, Steering System and Exhaust System",,"Anhui Zhongding Precision IndustryTechnology Co., Ltd.No. 669, Baocheng Road,Xuancheng City,242000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000017242?locale=en&certificate_number=01+111+2132708
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F903
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F06
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F03
"Anhui Zhongding Light Alloy Technology Co.,Ltd",9000012536,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Aluminum Alloy Die Casting Parts and Aluminum Alloy Forging Parts",,"Anhui Zhongding Light AlloyTechnology Co.,LtdNo.669, Baocheng Road,Building 1, 4 and 7, No. 669,Baocheng Road, Feicai Office,Xuancheng City,242000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000012536?locale=en&certificate_number=01+111+2032649
"Anhui Zhongding Power Co.,Ltd.",9105079675,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Iron Castings",,"Anhui Zhongding Power Co.,Ltd.Economic & Technology Development Zone,Xuancheng City242000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105079675?locale=en&certificate_number=01+111+1430527
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F01
"Anhui Yingliu Electromechanical Co., Ltd.",9105016135,https://www.certipedia.com,,"MM+AD2000W0:
        Manufacturing of Castings",Certificates for management system according to MM+AD2000W0,"Anhui Yingliu ElectromechanicalCo., Ltd.No.566 Fanhua Avenue,Hefei EconomicNo.566 Fanhua Avenue, Hefei Economic &TechnologicalDevelopment Zone, Hefei City,230601 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105016135?locale=en&certificate_number=01+202+CHN%2FQ-02+0008
"Anhui Yongmaotai Aluminium Co., Ltd.",9105025244,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Cast Aluminium Alloy Ingots",Certificates for management system according to IATF 16949,"Anhui Yongmaotai Aluminium Co., Ltd.Cundong Group, Liudong Village,Cundong Group, Liudong Village, Xinhang Town,Guangde City, Xuancheng City,242232 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105025244?locale=en&certificate_number=01+111+038970%2F903
"Anhui Yongmaotai Aluminium Co., Ltd.",9105025244,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Cast Aluminium Alloy Ingots",Certificates for management system according to IATF 16949,"Anhui Yongmaotai Aluminium Co., Ltd.Cundong Group, Liudong Village,Cundong Group, Liudong Village, Xinhang Town,Guangde City, Xuancheng City,242232 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105025244?locale=en&certificate_number=01+111+038970%2F902
"Anhui Yongmaotai Aluminium Co., Ltd.",9105025244,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Cast Aluminium Alloy Ingots",Certificates for management system according to IATF 16949,"Anhui Yongmaotai Aluminium Co., Ltd.Cundong Group, Liudong Village,Cundong Group, Liudong Village, Xinhang Town,Guangde City, Xuancheng City,242232 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105025244?locale=en&certificate_number=01+111+038970%2F900
"Anhui Yongmaotai Aluminium Co., Ltd.",9105025244,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Cast Aluminium Alloy Ingots",Certificates for management system according to IATF 16949,"Anhui Yongmaotai Aluminium Co., Ltd.Cundong Group, Liudong Village,Cundong Group, Liudong Village, Xinhang Town,Guangde City, Xuancheng City,242232 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105025244?locale=en&certificate_number=01+111+038970%2F03
"Anhui Yongmaotai Aluminium Co., Ltd.",9105025244,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Cast Aluminium Alloy Ingots",Certificates for management system according to IATF 16949,"Anhui Yongmaotai Aluminium Co., Ltd.Cundong Group, Liudong Village,Cundong Group, Liudong Village, Xinhang Town,Guangde City, Xuancheng City,242232 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105025244?locale=en&certificate_number=01+111+038970%2F02
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F902
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+100+038961
"Anhui Zhongding Sealing Parts Co., Ltd.",9105024925,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Rubber Parts (excluding Profiles for Doors and Windows and Tires)
      
      
        ISO 9001:
        Design and Manufacturing of Rubber Parts","Certificates for management system according to IATF 16949
Certificate for management system according to ISO 9001","Anhui Zhongding Sealing PartsCo., Ltd.Zhongding Industrial Park Zone 2,Economic and TechnologicalDevelopment Zone,  Ningguo City,242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105024925?locale=en&certificate_number=01+111+038961%2F02
"ANEST IWATA SPARMAX Co., Ltd.",9108649902,https://www.certipedia.com/logos/000/319/562/9108649902_en.png?1557716093,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              EN ISO 13485:2016","EN ISO 13485:
        Design and Development, Manufacture and Distribution of  Powered Suction Pumps and Contract Manufacture of Compressors of Medical Nebulizers
      
      
        ISO 14001:
        Design/Development, Manufacture and Distribution of Mini Air Compressors, Powered Suction Pumps and Related Parts
      
      
        ISO 9001:
        Design/Development, Manufacture and Distribution of Mini Air Compressors, Powered Suction Pumps and Related Parts","Certificate for management system according to EN ISO 13485
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001","ANEST IWATA SPARMAX Co., Ltd.No.121, Sec. 3, Zhongshan Rd.,51542 Dacun, ChanghuaTaiwan",https://www.certipedia.com/quality_marks/9108649902?locale=en&certificate_number=01+100+822+106230
"ANEST IWATA SPARMAX Co., Ltd.",9108649902,https://www.certipedia.com/logos/000/319/562/9108649902_en.png?1557716093,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015
              EN ISO 13485:2016","EN ISO 13485:
        Design and Development, Manufacture and Distribution of  Powered Suction Pumps and Contract Manufacture of Compressors of Medical Nebulizers
      
      
        ISO 14001:
        Design/Development, Manufacture and Distribution of Mini Air Compressors, Powered Suction Pumps and Related Parts
      
      
        ISO 9001:
        Design/Development, Manufacture and Distribution of Mini Air Compressors, Powered Suction Pumps and Related Parts","Certificate for management system according to EN ISO 13485
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001","ANEST IWATA SPARMAX Co., Ltd.No.121, Sec. 3, Zhongshan Rd.,51542 Dacun, ChanghuaTaiwan",https://www.certipedia.com/quality_marks/9108649902?locale=en&certificate_number=01+104+822+106230
"Anhui Tongli Auto Parts Co., Ltd.",9105087507,https://www.certipedia.com,,"EN 15085-2:
        New build of parts for railway vehicles (without design)
- Supporting Frame for internal parts
      
      
        EN ISO 3834-2:
        Quality requirements for fusion welding of metallic materials.
Comprehensive quality requirements.","Certificate for management system according to EN 15085-2
Certificate for management system according to EN ISO 3834-2","Anhui Tongli Auto Parts Co., Ltd.Erlong street,Tongda town, Lujiang county,Hefei City231533 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105087507?locale=en&certificate_number=T%C3%9CVRh%2F15085%2FCL2%2F489%2F1%2F17
"Anhui Tongli Auto Parts Co., Ltd.",9105087507,https://www.certipedia.com,,"EN 15085-2:
        New build of parts for railway vehicles (without design)
- Supporting Frame for internal parts
      
      
        EN ISO 3834-2:
        Quality requirements for fusion welding of metallic materials.
Comprehensive quality requirements.","Certificate for management system according to EN 15085-2
Certificate for management system according to EN ISO 3834-2","Anhui Tongli Auto Parts Co., Ltd.Erlong street,Tongda town, Lujiang county,Hefei City231533 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105087507?locale=en&certificate_number=01+202+CHN%2FA-17+0040
Anhui Tristone Flowtech Ltd,9108627038,https://www.certipedia.com,,"IATF 16949:
        Design and Manufacturing of Fluid Carrying Rubber Hose System and Cable Protection Rubber Hose System.",,"Anhui Tristone Flowtech LtdNo. 9, Maowan Road,Heli Industrial Park, Economicand Technologic Development Zone,Ningguo City242300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9108627038?locale=en&certificate_number=01+111+1430509
"Anhui Tongdu Flow Technology Co., Ltd.",9105022066,https://www.certipedia.com,,"E1:
        Manufacturing of Cast Iron Valves",,"Anhui Tongdu Flow Technology Co., Ltd.No.188 North Tongdu Avenue,Tongling City,244061 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9105022066?locale=en&certificate_number=01+202+CHN%2FQ-03+0086
"Anhui Tiankang Medical Technology Co., Ltd.",9000016190,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Disposable Syringes, Auto Disable Syringes, Safety Syringes with Retractable Needles, Disposable Infusion Sets, Disposable Blood Transfusion Sets, Scalp Vein Sets, Disposable Blood Lancets, Disposable Hypodermic Needles, Disposable Dental Needles, A.V.Fistual Needles, Disposable IV Catheters, Heparin Caps, Extracorporeal Blood Circuits for Haemodialysers, Disposable Insulin Syringes, Intravenous Infusion Sets With Burette, Extension Tubes, Oral and Enteral Syringes, Oral and Enteral Syringe Accessories, Safety Insulin Syringes with Retractable Needles, Disposable Three-way Stopcock, Disposable Safety Needles",Certificates for management system according to EN ISO 13485,"Anhui Tiankang Medical TechnologyCo., Ltd.No. 228, Weiyi Road,Economic Development Zone,Tianchang City,239300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000016190?locale=en&certificate_number=SX+2101181-1
"Anhui Tiankang Medical Technology Co., Ltd.",9000016190,https://www.certipedia.com,,"EN ISO 13485:
        Manufacture and Distribution of Disposable Syringes, Auto Disable Syringes, Safety Syringes with Retractable Needles, Disposable Infusion Sets, Disposable Blood Transfusion Sets, Scalp Vein Sets, Disposable Blood Lancets, Disposable Hypodermic Needles, Disposable Dental Needles, A.V.Fistual Needles, Disposable IV Catheters, Heparin Caps, Extracorporeal Blood Circuits for Haemodialysers, Disposable Insulin Syringes, Intravenous Infusion Sets With Burette, Extension Tubes, Oral and Enteral Syringes, Oral and Enteral Syringe Accessories, Safety Insulin Syringes with Retractable Needles, Disposable Three-way Stopcock, Disposable Safety Needles",Certificates for management system according to EN ISO 13485,"Anhui Tiankang Medical TechnologyCo., Ltd.No. 228, Weiyi Road,Economic Development Zone,Tianchang City,239300 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000016190?locale=en&certificate_number=SX+2101181-1%2F01
"Anhui Meizhi Precision Manufacturing Co., Ltd.",9000017818,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Stator Core、Rotor Core and Components",,"Anhui Meizhi PrecisionManufacturing Co., Ltd.No.3 Taishan Road, WuhuEconomic-TechnologicalDevelopment ZoneWuhu241000 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000017818?locale=en&certificate_number=01+111+2132401
"Anhui Meizhi Compressor Co., Ltd.",9000017822,https://www.certipedia.com,,"IATF 16949:
        Manufacturing of Stator Core and Rotor Core",,"Anhui Meizhi Compressor Co., Ltd.High And New TechnicalDevelopment DistrictHefei230088 AnhuiChina (Mainland)",https://www.certipedia.com/quality_marks/9000017822?locale=en&certificate_number=01+111+2132371
